ProblemID,TAG
1983D,sortings 
1983C,binary search
1983C,brute force
1983C,greedy
1983C,implementation 
1983B,constructive algorithms
1983B,greedy
1983B,implementation
1983B,math 
1983A,constructive algorithms
1983A,math 
1982F,binary search
1982F,data structures
1982F,sortings 
1982E,bitmasks
1982E,brute force
1982E,combinatorics
1982E,divide and conquer
1982E,dp
1982E,math
1982E,meet-in-the-middle 
1982D,brute force
1982D,data structures
1982D,implementation
1982D,math
1982D,number theory 
1982C,binary search
1982C,data structures
1982C,dp
1982C,greedy
1982C,two pointers 
1982B,brute force
1982B,implementation
1982B,math
1982B,number theory 
1982A,greedy
1982A,implementation
1982A,math
1982A,sortings 
1981F,data structures
1981F,dp
1981F,trees 
1981E,data structures
1981E,dsu
1981E,graphs
1981E,greedy 
1981D,constructive algorithms
1981D,dfs and similar
1981D,graphs
1981D,number theory 
1981C,bitmasks
1981C,brute force
1981C,constructive algorithms
1981C,greedy
1981C,implementation
1981C,math 
1981B,bitmasks
1981B,math 
1981A,brute force
1981A,greedy
1981A,math 
1980G,bitmasks
1980G,data structures
1980G,dfs and similar
1980G,graphs
1980G,greedy
1980G,strings
1980G,trees 
1980F2,math
1980F2,sortings 
1980F1,data structures
1980F1,math
1980F1,sortings 
1980E,constructive algorithms
1980E,data structures
1980E,greedy
1980E,hashing
1980E,implementation
1980E,math
1980E,matrices
1980E,sortings 
1980D,greedy
1980D,implementation
1980D,math
1980D,number theory 
1980C,constructive algorithms
1980C,greedy 
1980B,sortings
1980B,sortings 
1980A,math 
1979F,brute force
1979F,constructive algorithms
1979F,graphs
1979F,interactive 
1979E,binary search
1979E,constructive algorithms
1979E,data structures
1979E,geometry
1979E,implementation
1979E,two pointers 
1979D,bitmasks
1979D,brute force
1979D,constructive algorithms
1979D,dp
1979D,greedy
1979D,hashing
1979D,strings 
1979C,binary search
1979C,combinatorics
1979C,constructive algorithms
1979C,number theory 
1979B,bitmasks
1979B,greedy 
1979A,brute force
1979A,greedy
1979A,implementation 
1978F,data structures
1978F,dfs and similar
1978F,dsu
1978F,graphs
1978F,number theory
1978F,two pointers 
1978E,brute force
1978E,data structures
1978E,dp
1978E,greedy
1978E,implementation 
1978D,data structures
1978D,greedy
1978D,implementation
1978D,math 
1978C,constructive algorithms
1978C,data structures
1978C,greedy
1978C,implementation
1978C,math 
1978B,binary search
1978B,greedy
1978B,math
1978B,ternary search 
1978A,constructive algorithms
1978A,greedy
1978A,sortings 
1977E,constructive algorithms
1977E,graphs
1977E,interactive 
1977D,bitmasks
1977D,brute force
1977D,greedy
1977D,hashing 
1977C,brute force
1977C,data structures
1977C,dp
1977C,greedy
1977C,math
1977C,number theory
1977C,sortings 
1977B,bitmasks
1977B,constructive algorithms
1977B,greedy
1977B,math 
1977A,math 
1976F,data structures
1976F,dfs and similar
1976F,dp
1976F,greedy
1976F,sortings
1976F,trees 
1976E,combinatorics
1976E,data structures
1976E,dfs and similar
1976E,greedy
1976E,math
1976E,trees 
1976D,binary search
1976D,combinatorics
1976D,data structures
1976D,divide and conquer
1976D,implementation
1976D,two pointers 
1976C,binary search
1976C,dp
1976C,greedy
1976C,implementation
1976C,two pointers 
1976B,greedy
1976B,implementation 
1976A,implementation
1976A,sortings
1976A,strings 
1975I,dp 
1975H,greedy
1975H,strings 
1975G,fft
1975G,greedy
1975G,math
1975G,strings 
1975F,bitmasks
1975F,brute force
1975F,combinatorics
1975F,dfs and similar
1975F,divide and conquer
1975F,dp
1975F,math 
1975E,binary search
1975E,data structures
1975E,dfs and similar
1975E,implementation
1975E,trees 
1975D,brute force
1975D,dfs and similar
1975D,dp
1975D,greedy
1975D,shortest paths
1975D,trees 
1975C,binary search
1975C,brute force
1975C,greedy 
1975B,brute force
1975B,greedy
1975B,math
1975B,sortings 
1975A,brute force
1975A,greedy
1975A,implementation
1975A,sortings 
1974G,data structures
1974G,greedy
1974G,sortings 
1974F,binary search
1974F,brute force
1974F,data structures
1974F,implementation
1974F,sortings
1974F,two pointers 
1974E,dp 
1974D,constructive algorithms
1974D,greedy
1974D,implementation 
1974C,combinatorics
1974C,data structures 
1974B,implementation
1974B,sortings
1974B,strings 
1974A,greedy
1974A,math 
1973F,bitmasks
1973F,brute force
1973F,dp
1973F,implementation
1973F,number theory 
1973E,graphs
1973E,math
1973E,sortings 
1973D,brute force
1973D,interactive
1973D,math 
1973C,constructive algorithms
1973C,greedy
1973C,implementation
1973C,math
1973C,sortings 
1973B,binary search
1973B,bitmasks
1973B,data structures
1973B,greedy
1973B,math
1973B,two pointers 
1973A,brute force
1973A,dp
1973A,implementation
1973A,math 
1972B,games 
1972A,brute force
1972A,greedy
1972A,two pointers 
1971H,2-sat
1971H,dfs and similar
1971H,graphs 
1971G,data structures
1971G,dsu
1971G,sortings 
1971F,binary search
1971F,brute force
1971F,dfs and similar
1971F,geometry
1971F,implementation
1971F,math 
1971E,binary search
1971E,math
1971E,sortings 
1971D,dp
1971D,greedy
1971D,implementation
1971D,sortings
1971D,strings 
1971C,implementation 
1971B,implementation
1971B,strings 
1971A,implementation
1971A,sortings 
1970G3,bitmasks
1970G3,dfs and similar
1970G3,dp
1970G3,graphs
1970G3,trees 
1970G2,brute force
1970G2,dfs and similar
1970G2,dp
1970G2,graphs
1970G2,trees 
1970G1,dfs and similar
1970G1,trees 
1970F3,implementation 
1970F2,implementation 
1970F1,implementation 
1.97E+06,dp
1.97E+06,matrices 
1.97E+05,dp
1.97E+05,matrices 
1.97E+04,dp 
1970D3,interactive 
1970D2,constructive algorithms
1970D2,interactive
1970D2,probabilities
1970D2,strings 
1970D1,brute force
1970D1,constructive algorithms
1970D1,interactive
1970D1,strings 
1970C3,dfs and similar
1970C3,dp
1970C3,games
1970C3,trees 
1970C2,dfs and similar
1970C2,dp
1970C2,games
1970C2,trees 
1970C1,games 
1970B3,constructive algorithms 
1970B2,constructive algorithms 
1970B1,constructive algorithms 
1970A3,constructive algorithms
