Contest ID,Contest Name,DIV,Date,Time,Participants
1798,Codeforces Round 860 (Div. 2),Div. 2,Mar/26/202317:35,02:00,27196
1809,Educational Codeforces Round 145 (Rated for Div. 2),Rated for Div. 2,Mar/23/202317:35,02:00,35319
1806,Codeforces Round 858 (Div. 2),Div. 2,Mar/18/202315:05,02:15,24733
1804,Nebius Welcome Round (Div. 1 + Div. 2),Div. 1 + Div. 2,Mar/12/202317:35,02:00,23640
1801,Codeforces Round 857 (Div. 1),Div. 1,Mar/09/202312:35,03:00,1208
1802,Codeforces Round 857 (Div. 2),Div. 2,Mar/09/202312:35,03:00,19464
1794,Codeforces Round 856 (Div. 2),Div. 2,Mar/04/202320:35,02:00,22318
1796,Educational Codeforces Round 144 (Rated for Div. 2),Rated for Div. 2,Feb/28/202317:35,02:00,20456
1799,Codeforces Round 854 by cybercats (Div. 1 + Div. 2),Div. 1 + Div. 2,Feb/27/202317:35,03:00,21205
1789,Codeforces Round 853 (Div. 2),Div. 2,Feb/25/202317:20,02:00,24262
1795,Educational Codeforces Round 143 (Rated for Div. 2),Rated for Div. 2,Feb/16/202317:35,02:00,27849
1793,Codeforces Round 852 (Div. 2),Div. 2,Feb/12/202311:35,02:00,25361
1788,Codeforces Round 851 (Div. 2),Div. 2,Feb/09/202317:35,02:00,28404
1785,"Codeforces Round 850 (Div. 1, based on VK Cup 2022 - Final Round)","Div. 1, based on VK Cup 2022 - Final Round",Feb/05/202315:05,03:00,1333
1786,"Codeforces Round 850 (Div. 2, based on VK Cup 2022 - Final Round)","Div. 2, based on VK Cup 2022 - Final Round",Feb/05/202315:05,03:00,19549
1778,Codeforces Round 848 (Div. 2),Div. 2,Feb/01/202317:35,02:00,27689
1787,"TypeDB Forces 2023 (Div. 1 + Div. 2, Rated, Prizes!)","Div. 1 + Div. 2, Rated, Prizes!",Jan/29/202317:35,03:00,23681
1780,Codeforces Round 846 (Div. 2),Div. 2,Jan/25/202317:35,02:00,25283
1792,Educational Codeforces Round 142 (Rated for Div. 2),Rated for Div. 2,Jan/24/202317:35,02:00,24155
1777,Codeforces Round 845 (Div. 2) and ByteRace 2023,Div. 2,Jan/21/202317:35,02:00,25417
1782,"Codeforces Round 844 (Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round)","Div. 1 + Div. 2, based on VK Cup 2022 - Elimination Round",Jan/15/202315:05,03:00,18851
1775,Codeforces Round 843 (Div. 2),Div. 2,Jan/10/202314:15,02:30,26124
1783,Educational Codeforces Round 141 (Rated for Div. 2),Rated for Div. 2,Jan/08/202317:35,02:00,26322
1768,Codeforces Round 842 (Div. 2),Div. 2,Jan/05/202317:35,02:00,29166
1779,Hello 2023,,Jan/03/202317:35,02:30,31250
1770,Good Bye 2022: 2023 is NEAR,,Dec/30/202217:35,02:30,29562
1731,Codeforces Round 841 (Div. 2) and Divide by Zero 2022,Div. 2,Dec/27/202217:35,02:00,24679
1763,Codeforces Round 840 (Div. 2) and Enigma 2022 - Cybros LNMIIT,Div. 2,Dec/19/202217:35,02:00,19696
1774,"Polynomial Round 2022 (Div. 1 + Div. 2, Rated, Prizes!)","Div. 1 + Div. 2, Rated, Prizes!",Dec/17/202217:35,02:30,18217
1767,Educational Codeforces Round 140 (Rated for Div. 2),Rated for Div. 2,Dec/16/202217:35,02:00,22003
1762,Codeforces Round 838 (Div. 2),Div. 2,Dec/15/202217:35,02:30,23145
1766,Educational Codeforces Round 139 (Rated for Div. 2),Rated for Div. 2,Dec/12/202217:35,02:00,21257
1771,Codeforces Round 837 (Div. 2),Div. 2,Dec/11/202218:35,02:00,23840
1764,Codeforces Global Round 24,,Nov/26/202217:05,02:30,17103
1758,Codeforces Round 836 (Div. 2),Div. 2,Nov/25/202218:35,02:00,20592
1761,Pinely Round 1 (Div. 1 + Div. 2),Div. 1 + Div. 2,Nov/20/202217:35,02:30,16657
1752,45th ICPC World Finals Challenge powered by Huawei - Problem 1,,Nov/17/202203:00,13:23:59,7636
1751,45th ICPC World Finals Challenge powered by Huawei - Problem 2,,Nov/17/202203:00,13:23:59,8610
1748,Codeforces Round 833 (Div. 2),Div. 2,Nov/12/202217:35,02:00,23403
1755,Ecnerwala vs Errichto Kotlin Match,,Nov/07/202207:17,00:40,2
1750,"CodeTON Round 3 (Div. 1 + Div. 2, Rated, Prizes!)","Div. 1 + Div. 2, Rated, Prizes!",Nov/06/202217:35,02:30,20831
1747,Codeforces Round 832 (Div. 2),Div. 2,Nov/04/202217:35,02:00,23844
1740,Codeforces Round 831 (Div. 1 + Div. 2),Div. 1 + Div. 2,Oct/29/202212:10,02:45,18473
1732,Codeforces Round 830 (Div. 2),Div. 2,Oct/23/202213:05,02:00,18589
1753,Codeforces Round 829 (Div. 1),Div. 1,Oct/23/202210:50,02:00,1381
1754,Codeforces Round 829 (Div. 2),Div. 2,Oct/23/202210:50,02:00,21203
1749,Educational Codeforces Round 138 (Rated for Div. 2),Rated for Div. 2,Oct/20/202217:35,02:00,22892
1743,Educational Codeforces Round 137 (Rated for Div. 2),Rated for Div. 2,Oct/17/202217:35,02:00,23831
1746,Codeforces Global Round 23,,Oct/15/202217:35,02:15,23298
1736,Codeforces Round 825 (Div. 2),Div. 2,Oct/10/202217:35,02:00,24508
1737,Dytechlab Cup 2022,,Oct/07/202217:35,02:30,18541
1735,Codeforces Round 824 (Div. 2),Div. 2,Oct/02/202217:35,02:15,23333
1738,Codeforces Global Round 22,,Sep/30/202217:35,02:30,20170
1739,Educational Codeforces Round 136 (Rated for Div. 2),Rated for Div. 2,Sep/29/202217:35,02:00,22224
1730,Codeforces Round 823 (Div. 2),Div. 2,Sep/25/202217:35,02:00,22421
1734,Codeforces Round 822 (Div. 2),Div. 2,Sep/23/202215:05,02:00,20547
1733,Codeforces Round 821 (Div. 2),Div. 2,Sep/19/202217:35,02:00,23747
1723,ICPC 2022 Online Challenge powered by HUAWEI - Problem 1,,Sep/15/202203:00,15:00:00,19694
1724,ICPC 2022 Online Challenge powered by HUAWEI - Problem 2,,Sep/15/202203:00,15:00:00,15636
1728,Educational Codeforces Round 135 (Rated for Div. 2),Rated for Div. 2,Sep/08/202217:35,02:00,23749
1726,Codeforces Round 819 (Div. 1 + Div. 2) and Grimoire of Code Annual Contest 2022,Div. 1 + Div. 2,Sep/06/202217:35,02:15,22026
1717,Codeforces Round 818 (Div. 2),Div. 2,Sep/02/202217:35,02:00,26783
1721,Educational Codeforces Round 134 (Rated for Div. 2),Rated for Div. 2,Aug/27/202217:35,02:00,24539
1715,Codeforces Round 816 (Div. 2),Div. 2,Aug/20/202217:35,02:15,24858
1720,Codeforces Round 815 (Div. 2),Div. 2,Aug/18/202216:35,02:00,24887
1718,Codeforces Round 814 (Div. 1),Div. 1,Aug/16/202217:35,02:00,1320
1719,Codeforces Round 814 (Div. 2),Div. 2,Aug/16/202217:35,02:00,24307
1712,Codeforces Round 813 (Div. 2),Div. 2,Aug/13/202217:35,02:15,26558
1713,Codeforces Round 812 (Div. 2),Div. 2,Aug/06/202217:35,02:00,26111
1716,Educational Codeforces Round 133 (Rated for Div. 2),Rated for Div. 2,Aug/04/202217:35,02:00,25010
1704,"CodeTON Round 2 (Div. 1 + Div. 2, Rated, Prizes!)","Div. 1 + Div. 2, Rated, Prizes!",Jul/31/202217:05,02:30,26732
1710,Codeforces Round 810 (Div. 1),Div. 1,Jul/24/202217:35,02:00,1487
1711,Codeforces Round 810 (Div. 2),Div. 2,Jul/24/202217:35,02:00,23013
1709,Educational Codeforces Round 132 (Rated for Div. 2),Rated for Div. 2,Jul/21/202217:35,02:00,25081
1706,Codeforces Round 809 (Div. 2),Div. 2,Jul/18/202217:35,02:00,26938
1707,Codeforces Round 808 (Div. 1),Div. 1,Jul/16/202217:35,02:00,1356
1708,Codeforces Round 808 (Div. 2),Div. 2,Jul/16/202217:35,02:00,24705
1705,Codeforces Round 807 (Div. 2),Div. 2,Jul/15/202216:35,02:15,26860
1701,Educational Codeforces Round 131 (Rated for Div. 2),Rated for Div. 2,Jul/08/202217:35,02:00,23564
1699,Codeforces Round 804 (Div. 2),Div. 2,Jul/04/202217:35,02:00,27249
1698,Codeforces Round 803 (Div. 2),Div. 2,Jun/28/202217:35,02:15,25767
1696,Codeforces Global Round 21,,Jun/25/202217:35,02:15,23371
1700,Codeforces Round 802 (Div. 2),Div. 2,Jun/19/202212:05,02:00,19157
1695,Codeforces Round 801 (Div. 2) and EPIC Institute of Technology Round,Div. 2,Jun/18/202217:35,02:00,22255
1693,Codeforces Round 800 (Div. 1),Div. 1,Jun/16/202217:35,02:00,1135
1694,Codeforces Round 800 (Div. 2),Div. 2,Jun/16/202217:35,02:00,24216
1697,Educational Codeforces Round 130 (Rated for Div. 2),Rated for Div. 2,Jun/12/202217:35,02:00,22441
1689,Codeforces Round 798 (Div. 2),Div. 2,Jun/10/202219:35,02:00,22605
1687,Codeforces Round 796 (Div. 1),Div. 1,Jun/03/202217:35,02:00,1206
1688,Codeforces Round 796 (Div. 2),Div. 2,Jun/03/202217:35,02:00,24237
1691,CodeCraft-22 and Codeforces Round 795 (Div. 2),Div. 2,May/31/202217:35,02:00,24189
1685,Codeforces Round 794 (Div. 1),Div. 1,May/25/202220:35,02:15,885
1686,Codeforces Round 794 (Div. 2),Div. 2,May/25/202220:35,02:15,20376
1681,Educational Codeforces Round 129 (Rated for Div. 2),Rated for Div. 2,May/23/202217:35,02:00,21977
1682,Codeforces Round 793 (Div. 2),Div. 2,May/22/202217:35,02:00,22219
1684,Codeforces Round 792 (Div. 1 + Div. 2),Div. 1 + Div. 2,May/19/202217:35,02:00,21473
1679,Codeforces Round 791 (Div. 2),Div. 2,May/14/202212:35,02:00,18626
1680,Educational Codeforces Round 128 (Rated for Div. 2),Rated for Div. 2,May/13/202217:35,02:00,21400
1677,Codeforces Round 789 (Div. 1),Div. 1,May/08/202217:35,02:00,1206
1678,Codeforces Round 789 (Div. 2),Div. 2,May/08/202217:35,02:00,17965
1670,Codeforces Round 788 (Div. 2),Div. 2,May/06/202217:35,02:00,18505
1673,Codeforces Round 785 (Div. 2),Div. 2,Apr/30/202217:35,02:00,19008
